SampleID	MapID	Location	Experiment
FIRE001	HB1	Blodgett	Heat
FIRE002	HB2	Blodgett	Heat
FIRE003	HB3	Blodgett	Heat
FIRE004	HB4	Blodgett	Heat
FIRE005	HB5	Blodgett	Heat
FIRE006	HB6	Blodgett	Heat
FIRE007	HB7	Blodgett	Heat
FIRE008	HB8	Blodgett	Heat
FIRE009	HB9	Blodgett	Heat
FIRE010	HB10	Blodgett	Heat
FIRE011	HB11	Blodgett	Heat
FIRE012	HB12	Blodgett	Heat
FIRE013	HB13	Blodgett	Heat
FIRE014	HB14	Blodgett	Heat
FIRE015	HB15	Blodgett	Heat
FIRE016	HB16	Blodgett	Heat
FIRE017	HB17	Blodgett	Heat
FIRE018	HB18	Blodgett	Heat
FIRE019	HB19	Blodgett	Heat
FIRE020	HB20	Blodgett	Heat
FIRE021	HB21	Blodgett	Heat
FIRE022	HB22	Blodgett	Heat
FIRE023	HB23	Blodgett	Heat
FIRE024	HB24	Blodgett	Heat
FIRE025	HN1	Blodgett	Heat
FIRE026	USM11	Blodgett	Prescribed
FIRE027	HN3	Blodgett	Heat
FIRE028	UDM11	Blodgett	Prescribed
FIRE029	HN5	Blodgett	Heat
FIRE030	USM12	Blodgett	Prescribed
FIRE031	HN7	Blodgett	Heat
FIRE032	HN8	Blodgett	Heat
FIRE033	HN9	Blodgett	Heat
FIRE034	HN10	Blodgett	Heat
FIRE035	HN11	Blodgett	Heat
FIRE036	HN12	Blodgett	Heat
FIRE037	HN13	Blodgett	Heat
FIRE038	HN14	Blodgett	Heat
FIRE039	HN15	Blodgett	Heat
FIRE040	HN16	Blodgett	Heat
FIRE041	HN17	Blodgett	Heat
FIRE042	HN18	Blodgett	Heat
FIRE043	HN19	Blodgett	Heat
FIRE044	HN20	Blodgett	Heat
FIRE045	HN21	Blodgett	Heat
FIRE046	HN22	Blodgett	Heat
FIRE047	HN23	Blodgett	Heat
FIRE048	HN24	Blodgett	Heat
FIRE049	CB1	Blodgett	Heat
FIRE050	CB2	Blodgett	Heat
FIRE051	CB3	Blodgett	Heat
FIRE052	CB4	Blodgett	Heat
FIRE053	CB5	Blodgett	Heat
FIRE054	CB6	Blodgett	Heat
FIRE055	C7	Blodgett	Heat
FIRE056	C9	Blodgett	Heat
FIRE057	C10	Blodgett	Heat
FIRE058	C11	Blodgett	Heat
FIRE059	C12	Blodgett	Heat
FIRE060	D	Blodgett	Heat
FIRE061	N	Blodgett	Heat
FIRE062	QM15	Quail	Wildfire
FIRE063	QM16	Quail	Wildfire
FIRE064	QM17	Quail	Wildfire
FIRE065	QM18	Quail	Wildfire
FIRE066	QM19	Quail	Wildfire
FIRE067	QM20	Quail	Wildfire
FIRE068	QM21	Quail	Wildfire
FIRE069	QM22	Quail	Wildfire
FIRE070	QM23	Quail	Wildfire
FIRE071	QM24	Quail	Wildfire
FIRE072	QM25	Quail	Wildfire
FIRE073	QM26	Quail	Wildfire
FIRE074	QM27	Quail	Wildfire
FIRE075	QM28	Quail	Wildfire
FIRE076	QM29	Quail	Wildfire
FIRE077	QM30	Quail	Wildfire
FIRE078	QM31	Quail	Wildfire
FIRE079	QM32	Quail	Wildfire
FIRE080	QM33	Quail	Wildfire
FIRE081	QM34	Quail	Wildfire
FIRE082	QM35	Quail	Wildfire
FIRE083	QM36	Quail	Wildfire
FIRE084	QM37	Quail	Wildfire
FIRE085	QM38	Quail	Wildfire
FIRE086	QM39	Quail	Wildfire
FIRE087	QM40	Quail	Wildfire
FIRE088	QM41	Quail	Wildfire
FIRE089	QM42	Quail	Wildfire
FIRE090	QM43	Quail	Wildfire
FIRE091	QM44	Quail	Wildfire
FIRE092	QM45	Quail	Wildfire
FIRE093	QM46	Quail	Wildfire
FIRE094	QM47	Quail	Wildfire
FIRE095	QM48	Quail	Wildfire
FIRE096	QM49	Quail	Wildfire
FIRE097	QM50	Quail	Wildfire
FIRE098	QM51	Quail	Wildfire
FIRE099	UDM10	Blodgett	Prescribed
FIRE100	QM53	Quail	Wildfire
FIRE101	QM54	Quail	Wildfire
FIRE102	USM7	Blodgett	Prescribed
FIRE103	UDM7	Blodgett	Prescribed
FIRE104	BSM27	Blodgett	Prescribed
FIRE105	MM4	McLaughlin	Wildfire
FIRE106	Blank	All	Control
FIRE107	Blank	All	Control
FIRE108	Blank	All	Control
FIRE109	PSC6	All	Control
FIRE110	PSC6	All	Control
FIRE111	MM10	McLaughlin	Wildfire
FIRE112	MM19	McLaughlin	Wildfire
FIRE113	MM20	McLaughlin	Wildfire
FIRE114	MM21	McLaughlin	Wildfire
FIRE115	MM22	McLaughlin	Wildfire
FIRE116	MM23	McLaughlin	Wildfire
FIRE117	MM25	McLaughlin	Wildfire
FIRE118	MM26	McLaughlin	Wildfire
FIRE119	MM27	McLaughlin	Wildfire
FIRE120	MM28	McLaughlin	Wildfire
FIRE121	MM29	McLaughlin	Wildfire
FIRE122	MM30	McLaughlin	Wildfire
FIRE123	MM31	McLaughlin	Wildfire
FIRE124	MM32	McLaughlin	Wildfire
FIRE125	MM33	McLaughlin	Wildfire
FIRE126	MM34	McLaughlin	Wildfire
FIRE127	MM35	McLaughlin	Wildfire
FIRE128	MM36	McLaughlin	Wildfire
FIRE129	MM37	McLaughlin	Wildfire
FIRE130	MM38	McLaughlin	Wildfire
FIRE131	MM39	McLaughlin	Wildfire
FIRE132	MM40	McLaughlin	Wildfire
FIRE133	MM41	McLaughlin	Wildfire
FIRE134	MM42	McLaughlin	Wildfire
FIRE135	BSM7	Blodgett	Prescribed
FIRE136	BDM7	Blodgett	Prescribed
FIRE137	BSM8	Blodgett	Prescribed
FIRE138	BDM8	Blodgett	Prescribed
FIRE139	BSM9	Blodgett	Prescribed
FIRE140	BDM9	Blodgett	Prescribed
FIRE141	BSM13	Blodgett	Prescribed
FIRE142	BDM13	Blodgett	Prescribed
FIRE143	BSM14	Blodgett	Prescribed
FIRE144	BDM14	Blodgett	Prescribed
FIRE145	BSM15	Blodgett	Prescribed
FIRE146	BDM15	Blodgett	Prescribed
FIRE147	BSM16	Blodgett	Prescribed
FIRE148	BDM16	Blodgett	Prescribed
FIRE149	BSM17	Blodgett	Prescribed
FIRE150	BDM17	Blodgett	Prescribed
FIRE151	BSM18	Blodgett	Prescribed
FIRE152	BDM18	Blodgett	Prescribed
FIRE153	USM13	Blodgett	Prescribed
FIRE154	UDM13	Blodgett	Prescribed
FIRE155	USM14	Blodgett	Prescribed
FIRE156	UDM14	Blodgett	Prescribed
FIRE157	USM15	Blodgett	Prescribed
FIRE158	UDM15	Blodgett	Prescribed
FIRE159	USM16	Blodgett	Prescribed
FIRE160	UDM16	Blodgett	Prescribed
