"","OTU","Sensitive_A","Tolerant_A","Sensitive_O","Tolerant_O"
"1","C1_S49_L004_contig_1077",TRUE,FALSE,TRUE,FALSE
"2","C1_S49_L004_contig_1079",TRUE,FALSE,TRUE,FALSE
"3","C1_S49_L004_contig_1087",TRUE,FALSE,TRUE,FALSE
"4","C1_S49_L004_contig_120",TRUE,FALSE,TRUE,FALSE
"5","C1_S49_L004_contig_1200",TRUE,FALSE,TRUE,FALSE
"6","C1_S49_L004_contig_1207",FALSE,FALSE,FALSE,TRUE
"7","C1_S49_L004_contig_1284",TRUE,FALSE,TRUE,FALSE
"8","C1_S49_L004_contig_1312",TRUE,FALSE,FALSE,FALSE
"9","C1_S49_L004_contig_144",FALSE,FALSE,TRUE,FALSE
"10","C1_S49_L004_contig_1535",TRUE,FALSE,TRUE,FALSE
"11","C1_S49_L004_contig_154",TRUE,FALSE,TRUE,FALSE
"12","C1_S49_L004_contig_1548",FALSE,FALSE,FALSE,TRUE
"13","C1_S49_L004_contig_1615",FALSE,FALSE,TRUE,FALSE
"14","C1_S49_L004_contig_1683",TRUE,FALSE,FALSE,TRUE
"15","C1_S49_L004_contig_1693",FALSE,FALSE,FALSE,TRUE
"16","C1_S49_L004_contig_179",FALSE,FALSE,FALSE,TRUE
"17","C1_S49_L004_contig_1857",FALSE,TRUE,FALSE,FALSE
"18","C1_S49_L004_contig_1916",FALSE,TRUE,FALSE,FALSE
"19","C1_S49_L004_contig_2109",TRUE,FALSE,FALSE,FALSE
"20","C1_S49_L004_contig_2136",FALSE,FALSE,TRUE,FALSE
"21","C1_S49_L004_contig_215",FALSE,FALSE,TRUE,FALSE
"22","C1_S49_L004_contig_2196",FALSE,FALSE,TRUE,FALSE
"23","C1_S49_L004_contig_2257",TRUE,FALSE,TRUE,FALSE
"24","C1_S49_L004_contig_2357",TRUE,FALSE,FALSE,FALSE
"25","C1_S49_L004_contig_2430",FALSE,FALSE,TRUE,FALSE
"26","C1_S49_L004_contig_249",FALSE,FALSE,TRUE,FALSE
"27","C1_S49_L004_contig_2498",TRUE,FALSE,FALSE,FALSE
"28","C1_S49_L004_contig_2510",TRUE,FALSE,TRUE,FALSE
"29","C1_S49_L004_contig_2621",FALSE,TRUE,FALSE,FALSE
"30","C1_S49_L004_contig_2703",FALSE,FALSE,TRUE,FALSE
"31","C1_S49_L004_contig_2721",FALSE,FALSE,FALSE,TRUE
"32","C1_S49_L004_contig_2785",TRUE,FALSE,FALSE,FALSE
"33","C1_S49_L004_contig_2857",TRUE,FALSE,FALSE,FALSE
"34","C1_S49_L004_contig_2871",TRUE,FALSE,FALSE,FALSE
"35","C1_S49_L004_contig_29",FALSE,FALSE,FALSE,TRUE
"36","C1_S49_L004_contig_2912",FALSE,FALSE,TRUE,FALSE
"37","C1_S49_L004_contig_2951",TRUE,FALSE,TRUE,FALSE
"38","C1_S49_L004_contig_2962",FALSE,FALSE,TRUE,FALSE
"39","C1_S49_L004_contig_30",TRUE,FALSE,FALSE,FALSE
"40","C1_S49_L004_contig_3028",FALSE,FALSE,TRUE,FALSE
"41","C1_S49_L004_contig_3044",FALSE,FALSE,TRUE,FALSE
"42","C1_S49_L004_contig_3079",TRUE,FALSE,FALSE,FALSE
"43","C1_S49_L004_contig_3169",TRUE,FALSE,FALSE,FALSE
"44","C1_S49_L004_contig_3200",FALSE,FALSE,TRUE,FALSE
"45","C1_S49_L004_contig_3304",FALSE,TRUE,FALSE,TRUE
"46","C1_S49_L004_contig_3310",TRUE,FALSE,FALSE,FALSE
"47","C1_S49_L004_contig_3323",FALSE,FALSE,TRUE,FALSE
"48","C1_S49_L004_contig_3337",FALSE,FALSE,TRUE,FALSE
