SampleID	Horizon	Temperature	Mass	DNA_ul	DNA_g	DNase	Treatment	Contigs	Low	Medium	High	Circular
C1	O	Control	6.902	96.432	13.97160243	DNase	Fresh	3984	3169	687	128	687
C10	A	Control	9.806	424.34	43.27350602	NoDNase	Fresh	1028	859	142	27	99
C11	A	Control	9.43	391.02	41.46553552	NoDNase	Fresh	1453	1210	204	39	156
C12	A	Control	9.858	427.28	43.34347738	NoDNase	Fresh	1054	878	154	22	100
C2	O	Control	6.506	96.53	14.83707347	DNase	Fresh	4320	3471	722	127	720
C3	O	Control	6.59	72.422	10.98968134	DNase	Fresh	4032	3227	685	120	642
C4	A	Control	9.748	91.826	9.419983586	DNase	Fresh	3262	2708	482	72	439
C5	A	Control	9.714	96.334	9.917026971	DNase	Fresh	3096	2558	467	71	430
C6	A	Control	9.328	90.356	9.686535163	DNase	Fresh	3081	2528	477	76	442
C7	O	Control	6.644	174.44	26.25526791	NoDNase	Fresh	3504	2807	581	116	413
C8	O	Control	6.588	194.04	29.45355191	NoDNase	Fresh	3391	2742	540	109	509
C9	O	Control	6.31	177.38	28.11093502	NoDNase	Fresh	4884	3862	865	157	781
HD1	O	10	6.222	63.308	10.17486339	DNase	Heat	4417	3472	794	151	819
HD10	A	30	9.414	79.674	8.463352454	DNase	Heat	3103	2563	475	65	435
HD11	A	30	9.93	85.162	8.576233635	DNase	Heat	2847	2360	425	62	402
HD12	A	30	10.076	77.518	7.693330687	DNase	Heat	3948	3227	628	93	605
HD13	O	60	6.242	50.372	8.069849407	DNase	Heat	4748	3756	870	122	944
HD14	O	60	6.684	47.726	7.140335129	DNase	Heat	4799	3747	936	116	935
HD15	O	60	6.162	61.152	9.924050633	DNase	Heat	3965	3162	701	102	734
HD16	A	60	10.04	47.236	4.704780876	DNase	Heat	3316	2756	501	59	475
HD17	A	60	9.354	49.882	5.332691897	DNase	Heat	3069	2515	500	54	480
HD18	A	60	9.762	46.746	4.788567916	DNase	Heat	3108	2545	508	55	509
HD19	O	90	6.444	0	0	DNase	Heat	NA	NA	NA	NA	NA
HD2	O	10	6.574	74.382	11.31457256	DNase	Heat	4502	3531	818	153	814
HD20	O	90	6.15	0	0	DNase	Heat	NA	NA	NA	NA	NA
HD21	O	90	6.26	0	0	DNase	Heat	NA	NA	NA	NA	NA
HD22	A	90	10.406	0	0	DNase	Heat	NA	NA	NA	NA	NA
HD23	A	90	9.776	0	0	DNase	Heat	NA	NA	NA	NA	NA
HD24	A	90	9.386	0	0	DNase	Heat	NA	NA	NA	NA	NA
HD3	O	10	6.256	78.204	12.50063939	DNase	Heat	5007	3957	899	151	886
HD4	A	10	10.014	100.94	10.07988816	DNase	Heat	3020	2478	479	63	435
HD5	A	10	10.16	98	9.645669291	DNase	Heat	2921	2428	428	65	406
HD6	A	10	9.606	82.908	8.630855715	DNase	Heat	3256	2663	509	84	470
HD7	O	30	5.998	76.244	12.71157052	DNase	Heat	3834	3040	666	128	668
HD8	O	30	6.07	68.306	11.25304778	DNase	Heat	4055	3198	725	132	728
HD9	O	30	6.46	93.688	14.50278638	DNase	Heat	4227	3337	749	141	757
HN1	O	10	6.222	148.96	23.94085503	NoDNase	Heat	3516	2790	614	112	510
HN10	A	30	9.414	146.02	15.51094115	NoDNase	Heat	647	544	81	22	47
HN11	A	30	9.93	238.14	23.98187311	NoDNase	Heat	336	279	52	5	26
HN12	A	30	10.076	145.04	14.39460103	NoDNase	Heat	779	642	119	18	65
HN13	O	60	6.242	114.66	18.36911246	NoDNase	Heat	2446	1964	421	61	388
HN14	O	60	6.684	110.74	16.5679234	NoDNase	Heat	3459	2788	574	97	600
HN15	O	60	6.162	109.76	17.81239857	NoDNase	Heat	2154	1726	375	53	356
HN16	A	60	10.04	165.62	16.49601594	NoDNase	Heat	463	391	62	10	41
HN17	A	60	9.354	143.08	15.29613	NoDNase	Heat	688	570	97	21	71
HN18	A	60	9.762	182.28	18.6724032	NoDNase	Heat	813	688	107	18	76
HN19	O	90	6.444	20.286	3.148044693	NoDNase	Heat	995	817	157	21	144
HN2	O	10	6.574	153.86	23.40432005	NoDNase	Heat	2649	2093	459	97	288
HN20	O	90	6.15	11.858	1.928130081	NoDNase	Heat	1320	1107	190	23	209
HN21	O	90	6.26	13.23	2.11341853	NoDNase	Heat	1391	1165	200	26	218
HN22	A	90	10.406	22.442	2.1566404	NoDNase	Heat	394	333	53	8	47
HN23	A	90	9.776	26.95	2.756751227	NoDNase	Heat	483	406	67	10	56
HN24	A	90	9.386	17.346	1.848071596	NoDNase	Heat	316	267	43	6	29
HN3	O	10	6.256	127.4	20.36445013	NoDNase	Heat	2617	2087	433	97	388
HN4	A	10	10.014	161.7	16.14739365	NoDNase	Heat	416	349	55	12	38
HN5	A	10	10.16	125.44	12.34645669	NoDNase	Heat	452	375	67	10	40
HN6	A	10	9.606	130.34	13.56860296	NoDNase	Heat	645	543	82	20	52
HN7	O	30	5.998	114.66	19.11637212	NoDNase	Heat	2800	2222	487	91	348
HN8	O	30	6.07	158.76	26.15485997	NoDNase	Heat	2758	2180	489	89	407
HN9	O	30	6.46	150.92	23.3622291	NoDNase	Heat	3870	3078	660	132	607
