ID	MapID	Location	Experiment	Horizon	Temp	Virome	Treatment	Replicate
FIRE001	HB1	Blodgett	Heat	O	10C	Bulk	Heat	1
FIRE002	HB2	Blodgett	Heat	O	10C	Bulk	Heat	2
FIRE003	HB3	Blodgett	Heat	O	10C	Bulk	Heat	3
FIRE004	HB4	Blodgett	Heat	A	10C	Bulk	Heat	1
FIRE005	HB5	Blodgett	Heat	A	10C	Bulk	Heat	2
FIRE006	HB6	Blodgett	Heat	A	10C	Bulk	Heat	3
FIRE007	HB7	Blodgett	Heat	O	30C	Bulk	Heat	1
FIRE008	HB8	Blodgett	Heat	O	30C	Bulk	Heat	2
FIRE009	HB9	Blodgett	Heat	O	30C	Bulk	Heat	3
FIRE010	HB10	Blodgett	Heat	A	30C	Bulk	Heat	1
FIRE011	HB11	Blodgett	Heat	A	30C	Bulk	Heat	2
FIRE012	HB12	Blodgett	Heat	A	30C	Bulk	Heat	3
FIRE013	HB13	Blodgett	Heat	O	60C	Bulk	Heat	1
FIRE014	HB14	Blodgett	Heat	O	60C	Bulk	Heat	2
FIRE015	HB15	Blodgett	Heat	O	60C	Bulk	Heat	3
FIRE016	HB16	Blodgett	Heat	A	60C	Bulk	Heat	1
FIRE017	HB17	Blodgett	Heat	A	60C	Bulk	Heat	2
FIRE018	HB18	Blodgett	Heat	A	60C	Bulk	Heat	3
FIRE019	HB19	Blodgett	Heat	O	90C	Bulk	Heat	1
FIRE020	HB20	Blodgett	Heat	O	90C	Bulk	Heat	2
FIRE021	HB21	Blodgett	Heat	O	90C	Bulk	Heat	3
FIRE022	HB22	Blodgett	Heat	A	90C	Bulk	Heat	1
FIRE023	HB23	Blodgett	Heat	A	90C	Bulk	Heat	2
FIRE024	HB24	Blodgett	Heat	A	90C	Bulk	Heat	3
FIRE025	HN1	Blodgett	Heat	O	10C	Virome	Heat	1
FIRE027	HN3	Blodgett	Heat	O	10C	Virome	Heat	3
FIRE029	HN5	Blodgett	Heat	A	10C	Virome	Heat	2
FIRE031	HN7	Blodgett	Heat	O	30C	Virome	Heat	1
FIRE032	HN8	Blodgett	Heat	O	30C	Virome	Heat	2
FIRE033	HN9	Blodgett	Heat	O	30C	Virome	Heat	3
FIRE034	HN10	Blodgett	Heat	A	30C	Virome	Heat	1
FIRE035	HN11	Blodgett	Heat	A	30C	Virome	Heat	2
FIRE036	HN12	Blodgett	Heat	A	30C	Virome	Heat	3
FIRE037	HN13	Blodgett	Heat	O	60C	Virome	Heat	1
FIRE038	HN14	Blodgett	Heat	O	60C	Virome	Heat	2
FIRE039	HN15	Blodgett	Heat	O	60C	Virome	Heat	3
FIRE040	HN16	Blodgett	Heat	A	60C	Virome	Heat	1
FIRE041	HN17	Blodgett	Heat	A	60C	Virome	Heat	2
FIRE042	HN18	Blodgett	Heat	A	60C	Virome	Heat	3
FIRE043	HN19	Blodgett	Heat	O	90C	Virome	Heat	1
FIRE044	HN20	Blodgett	Heat	O	90C	Virome	Heat	2
FIRE045	HN21	Blodgett	Heat	O	90C	Virome	Heat	3
FIRE046	HN22	Blodgett	Heat	A	90C	Virome	Heat	1
FIRE047	HN23	Blodgett	Heat	A	90C	Virome	Heat	2
FIRE048	HN24	Blodgett	Heat	A	90C	Virome	Heat	3
FIRE049	CB1	Blodgett	Heat	O	Control	Bulk	Control	1
FIRE050	CB2	Blodgett	Heat	O	Control	Bulk	Control	2
FIRE051	CB3	Blodgett	Heat	O	Control	Bulk	Control	3
FIRE052	CB4	Blodgett	Heat	A	Control	Bulk	Control	1
FIRE053	CB5	Blodgett	Heat	A	Control	Bulk	Control	2
FIRE054	CB6	Blodgett	Heat	A	Control	Bulk	Control	3
FIRE055	C7	Blodgett	Heat	O	Control	Virome	Control	1
FIRE056	C9	Blodgett	Heat	O	Control	Virome	Control	3
FIRE057	C10	Blodgett	Heat	A	Control	Virome	Control	1
FIRE058	C11	Blodgett	Heat	A	Control	Virome	Control	2
FIRE059	C12	Blodgett	Heat	A	Control	Virome	Control	3
FIRE232	HN2	Blodgett	Heat	O	10C	Virome	Heat	2
FIRE233	HN4	Blodgett	Heat	A	10C	Virome	Heat	1
FIRE234	HN6	Blodgett	Heat	A	10C	Virome	Heat	3
FIRE265	C8	Blodgett	Heat	O	Control	Virome	Control	2
