,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,Achromobacter~phage~83-24,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,4,VC_0_0,4,0.1317,0.99996302,0.1317,3,2,2,0.6667
1,Achromobacter~phage~JWAlpha,Caudovirales,Podoviridae,Jwalphavirus,17_1,Clustered,11,VC_17_1,11,0.4195,1.0,0.4195,4,1,1,0.9818
2,Achromobacter~phage~JWF,Caudovirales,Siphoviridae,Unassigned,23_0,Clustered,5,VC_23_0,5,0.6295,0.99805839,0.6282,1,2,2,1.0
3,Achromobacter~phage~JWX,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,4,VC_0_0,4,0.1317,0.99996302,0.1317,3,2,2,0.6667
4,Achromobacter~phage~phiAxp-1,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,19,VC_1_0,19,0.4021,1.0,0.4021,3,2,2,1.0
5,Achromobacter~phage~phiAxp-3,Caudovirales,Podoviridae,Jwalphavirus,17_1,Clustered,11,VC_17_1,11,0.4195,1.0,0.4195,4,1,1,0.9818
6,Acidianus~bottle-shaped~virus,Unassigned,Ampullaviridae,Ampullavirus,45_0,Clustered,3,VC_45_0,3,1.0,1.0,1.0,2,1,1,1.0
7,Acidianus~bottle-shaped~virus~2,Unassigned,Ampullaviridae,Unassigned,45_0,Clustered,3,VC_45_0,3,1.0,1.0,1.0,2,1,1,1.0
8,Acidianus~bottle-shaped~virus~3,Unassigned,Ampullaviridae,Unassigned,45_0,Clustered,3,VC_45_0,3,1.0,1.0,1.0,2,1,1,1.0
9,Acidianus~filamentous~virus~3,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,46_0,Clustered,6,VC_46_0,6,0.9435,0.99999942,0.9435,1,1,1,1.0
10,Acidianus~filamentous~virus~6,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,46_0,Clustered,6,VC_46_0,6,0.9435,0.99999942,0.9435,1,1,1,1.0
11,Acidianus~filamentous~virus~7,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,46_0,Clustered,6,VC_46_0,6,0.9435,0.99999942,0.9435,1,1,1,1.0
12,Acidianus~filamentous~virus~8,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,46_0,Clustered,6,VC_46_0,6,0.9435,0.99999942,0.9435,1,1,1,1.0
13,Acidianus~filamentous~virus~9,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,46_0,Clustered,6,VC_46_0,6,0.9435,0.99999942,0.9435,1,1,1,1.0
14,Acidianus~spindle-shaped~virus~1,Unassigned,Fuselloviridae,Betafusellovirus,49_0,Clustered,9,VC_49_0,9,0.9123,0.99999774,0.9123,2,1,1,1.0
15,Acinetobacter~bacteriophage~AP22,Caudovirales,Myoviridae,Ap22virus,52_0,Clustered,4,VC_52_0,4,0.7717,0.99981922,0.7716,2,2,2,1.0
16,Acinetobacter~phage~AB3,Caudovirales,Podoviridae,Fri1virus,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
17,Acinetobacter~phage~Abp1,Caudovirales,Podoviridae,Fri1virus,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
18,Acinetobacter~phage~Ac42,Caudovirales,Myoviridae,Unassigned,59_6,Clustered/Singleton,1,VC_59_6,1,0.0,1.0,0.0,1,1,1,1.0
19,Acinetobacter~phage~Acj61,Caudovirales,Myoviridae,Unassigned,59_5,Clustered/Singleton,1,VC_59_5,1,0.0,1.0,0.0,1,1,1,1.0
